epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.0192,2.28658,5.19999,1.38002,0.6718,0.41245,0.45971,0.18717,2.11786,1.93393,1.38586,0.000662835,0.000662835,0.000662835
2,216.066,2.10271,1.85351,1.28275,0.23049,0.40672,0.15366,0.06697,2.03081,2.68989,1.33371,0.00131634,0.00131634,0.00131634
3,392.832,2.05407,1.76274,1.2653,0.03967,0.52985,0.02934,0.0102,2.36639,57.8226,1.43005,0.00195664,0.00195664,0.00195664
4,579.897,1.96415,1.55678,1.24404,0.70703,0.57463,0.61572,0.28277,1.91295,1.91381,1.25961,0.0019406,0.0019406,0.0019406
5,755.408,1.89798,1.41974,1.21056,0.79532,0.49627,0.59792,0.25443,1.99386,1.52446,1.26858,0.0019208,0.0019208,0.0019208
6,922.057,1.84216,1.32295,1.18385,0.82504,0.58582,0.68259,0.32456,1.80373,1.39471,1.19555,0.001901,0.001901,0.001901
7,1085.57,1.78177,1.22819,1.17325,0.81517,0.5709,0.66464,0.27527,1.9037,1.40354,1.21676,0.0018812,0.0018812,0.0018812
8,1249.05,1.71512,1.13103,1.13023,0.88007,0.60238,0.71062,0.35771,1.80525,1.2394,1.19583,0.0018614,0.0018614,0.0018614
9,1411.98,1.65919,1.07091,1.11729,0.76032,0.6392,0.70473,0.3383,1.82993,1.20702,1.20253,0.0018416,0.0018416,0.0018416
10,1574.84,1.63766,1.02982,1.10972,0.77794,0.65359,0.73502,0.3573,1.78525,1.22778,1.18273,0.0018218,0.0018218,0.0018218
11,1737.67,1.57754,0.96976,1.08775,0.84312,0.6818,0.77361,0.41163,1.68495,1.04447,1.13548,0.001802,0.001802,0.001802
12,1900.6,1.53749,0.92929,1.078,0.87402,0.70896,0.79398,0.40001,1.70589,1.03823,1.13183,0.0017822,0.0017822,0.0017822
13,2063.26,1.516,0.89839,1.05786,0.82127,0.68581,0.75374,0.38669,1.68791,1.14651,1.15092,0.0017624,0.0017624,0.0017624
14,2226.35,1.45853,0.85941,1.03326,0.87824,0.72388,0.81025,0.42343,1.66727,0.98092,1.13829,0.0017426,0.0017426,0.0017426
15,2390.55,1.43652,0.8324,1.04015,0.88869,0.66045,0.786,0.42044,1.66008,1.09368,1.1294,0.0017228,0.0017228,0.0017228
16,2554.8,1.4445,0.8353,1.0426,0.84735,0.6791,0.77343,0.41442,1.6294,1.13764,1.13027,0.001703,0.001703,0.001703
17,2718.9,1.38656,0.78159,1.02004,0.90238,0.72437,0.81713,0.44487,1.62625,0.94464,1.11723,0.0016832,0.0016832,0.0016832
